Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy
1,2.9029,0.4461,0.7862,0.6452
2,1.0545,0.5163,1.1944,0.4597
3,1.0214,0.5488,0.7819,0.621
4,0.9621,0.5336,0.7647,0.6573
5,0.8818,0.5741,0.8853,0.5524
6,0.8573,0.5893,0.7382,0.6331
7,0.8379,0.6001,0.758,0.6774
8,0.8627,0.585,0.7831,0.6573
9,0.839,0.6067,1.0082,0.5121
10,0.8441,0.5994,0.7311,0.6895
11,0.8564,0.5915,0.7891,0.6048
12,0.8218,0.5893,0.7221,0.7056
13,0.831,0.6233,0.7999,0.6089
14,0.8354,0.5835,0.7217,0.6976
15,0.8012,0.6153,0.7244,0.6653
16,0.8383,0.5951,0.8006,0.6169
17,0.8211,0.6139,0.7463,0.6895
18,0.8029,0.6327,0.7329,0.6855
19,0.8109,0.6211,0.7436,0.6573
20,0.7932,0.6132,0.7097,0.6694
21,0.8059,0.6197,0.6651,0.7016
22,0.8115,0.624,0.6647,0.754
23,0.7806,0.6551,0.7625,0.6815
24,0.7868,0.6435,0.7034,0.6976
25,0.7983,0.6255,0.7041,0.6895
26,0.7984,0.624,0.695,0.7177
27,0.7738,0.6435,0.7085,0.6573
28,0.7963,0.6291,0.6956,0.7097
29,0.7872,0.6327,0.7101,0.7177
30,0.7687,0.6443,0.701,0.7056
31,0.769,0.6305,0.6947,0.6855
32,0.7699,0.6406,0.6714,0.7137
33,0.8265,0.603,0.7353,0.7016
34,0.7888,0.6327,0.7091,0.6855
35,0.7701,0.6443,0.7663,0.6331
36,0.7838,0.6298,0.731,0.7056
37,0.7684,0.6587,0.6983,0.7016
38,0.7781,0.6385,0.8133,0.6129
39,0.788,0.6399,0.6855,0.7056
40,0.7698,0.6522,0.6666,0.6895
41,0.7526,0.6471,0.8045,0.6331
42,0.7591,0.6587,0.6659,0.7016
43,0.7706,0.6385,0.7206,0.7056
44,0.7414,0.6537,0.6586,0.7097
45,0.7606,0.6464,0.7559,0.6532
46,0.7506,0.6399,0.6771,0.6976
47,0.7455,0.6623,0.7129,0.6815
48,0.7755,0.6399,0.7108,0.6855
49,0.7601,0.6486,0.6928,0.6935
50,0.7545,0.6392,0.6721,0.7218
